song_name,singer,singer_id,duration,language,released_date,danceability,acousticness,energy,liveness,loudness,speechiness,tempo,mode,key,Valence,time_signature,popularity,Stream,year
Thottaal Poomalarum,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,04:46,Tamil,02-02-2021,0.66,0.13,0.888,0.08,-5.982,0.023,125.008,0,5,0.0,4,51,1676239,2021
Rajaavin Paarvai,P. Susheela|T.M. Soundararajan,/artist/p-suseela-2|/artist/tm-soundararajan,04:51,Tamil,03-03-2007,0.14,0.992,0.786,0.975,-6.32,0.0932,138.149,1,1,0.01,4,72,11167479,2007
Manithan Enbavan,P.B. Sreenivas,/artist/pb-sreenivas,03:27,Tamil,12-04-2008,0.92,0.29,0.101,0.0,-2.434,0.06,130.034,1,1,0.026,4,39,2795559,2008
Aayiram Kodi,M. Balamuralikrishna,/artist/m-balamuralikrishna-1,03:30,Tamil,05-09-2022,0.68,0.73,0.53,0.959,-7.641,0.0907,122.013,1,6,0.084,4,98,2432942,2022
Neengatha Ennam,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:07,Tamil,03-10-2002,0.74,0.315,0.547,0.143,-6.448,0.0951,191.872,0,10,0.08,4,73,423323,2002
Poga Poga Theriyum,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,04:27,Tamil,01-04-2003,0.67,0.08,0.947,0.09,-6.485,0.02,122.948,1,1,0.03,4,65,7748046,2003
Kavithai Arangerum Neram,P. Jayachandran|S. Janaki,/artist/p-jayachandran-1|/artist/s-janaki,04:39,Tamil,09-03-2008,0.52,0.852,0.916,0.746,-11.782,0.068,200.034,1,10,0.0496,4,71,8958052,2008
Kallelam Maanikka,L.R. Eswari|T M S Selvakumar,/artist/lr-eswari-2|/artist/t-m-s-selvakumar,03:17,Tamil,07-04-2020,0.56,0.8,0.743,0.45,-8.491,0.073,140.009,0,11,0.04,4,66,10930077,2020
Yetho Ninaivugal,K J Yesudas|S. P. Sailaja,/artist/k-j-yesudas|/artist/s-p-sailaja-2,04:24,Tamil,03-02-2005,0.94,0.963,0.337,0.11,-10.112,0.0911,145.938,1,2,0.0559,4,26,9058145,2005
Kadavul Amaithu Vaitha,S. P. Balasubrahmanyam|Saibaba|Pattom Sadan,/artist/s-p-balasubrahamanyam|/artist/saibaba|/artist/pattom-sadan,06:15,Tamil,07-09-2002,0.54,0.79,0.287,0.15,-11.305,0.02,162.172,1,8,0.0,4,38,5995113,2002
Kanne Kalaimaane,K J Yesudas,/artist/k-j-yesudas,04:06,Tamil,11-01-2023,0.59,0.672,0.097,0.207,-3.926,0.0889,106.01,1,1,0.01,4,50,6569833,2023
Bhoopalam,Leslie,/artist/leslie,03:58,Tamil,05-10-2004,0.48,0.43,0.048,0.11,-5.124,0.0703,134.988,1,1,0.0415,4,61,9447066,2004
Vechikkava Unna Mattum,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,04:29,Tamil,10-08-2009,0.67,0.19,0.063,0.44,-6.552,0.069,190.022,1,5,0.016,4,31,7839184,2009
Perai Sollavaa,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:47,Tamil,12-06-2021,0.97,0.277,0.786,0.348,-10.682,0.0702,170.011,0,11,0.01,4,49,322849,2021
Vizhiyele Malarndadhu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:23,Tamil,11-03-2006,0.17,0.03,0.084,0.32,-3.955,0.036,153.985,0,8,0.053,4,92,10100599,2006
Andanaal Njapakam,T.M. Soundararajan,/artist/tm-soundararajan,05:46,Tamil,11-12-2008,0.6,0.227,0.246,0.094,-11.875,0.0941,186.786,0,10,0.07,4,29,2473013,2008
Vaartha (Ennadi Meenakshi),S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:07,Tamil,03-10-2009,0.96,0.79,0.736,0.45,-3.359,0.05,197.922,1,1,0.0674,4,79,7702356,2009
Naan Aalana,S. Janaki,/artist/s-janaki,04:05,Tamil,03-10-2001,0.07,0.131,0.178,0.432,-10.737,0.016,159.941,1,1,0.0172,4,79,9804360,2001
Thillumullu Thillumullu,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,01:35,Tamil,08-06-2008,0.32,0.77,0.265,0.52,-9.684,0.07,185.07,1,1,0.1,4,68,10185427,2008
Kaakum Kadavul,Sirkazhi Govindarajan,/artist/sirkazhi-govindarajan,03:28,Tamil,06-08-2007,0.98,0.58,0.5,0.561,-5.728,0.0022,139.949,1,2,0.0402,4,36,1938161,2007
Kannai Nambathey,Gana Bala,/artist/gana-bala,04:21,Tamil,08-02-2004,0.96,0.42,0.488,0.53,-2.226,0.0622,129.997,1,8,0.08,4,53,8018065,2004
Thalattudhe Vanam,P. Jayachandran|S. Janaki,/artist/p-jayachandran-1|/artist/s-janaki,04:27,Tamil,08-05-2004,0.93,0.87,0.701,0.74,-7.18,0.051,149.956,0,10,0.0207,4,96,8114485,2004
Yaarukkaaga,T.M. Soundararajan,/artist/tm-soundararajan,03:34,Tamil,05-04-2003,0.84,0.379,0.661,0.393,-3.57,0.0522,154.983,0,9,0.0202,4,65,980373,2003
Aayiram Nilave Vaa,S. P. Balasubrahmanyam|P. Susheela,/artist/s-p-balasubrahamanyam|/artist/p-suseela-2,06:02,Tamil,01-04-2008,0.07,0.17,0.374,0.87,-2.214,0.025,131.412,0,1,0.08,4,87,9718012,2008
Oru Koppaiyile,T.M. Soundararajan,/artist/tm-soundararajan,03:03,Tamil,04-06-2000,0.52,0.341,0.173,0.323,-10.664,0.0495,160.033,1,2,0.02,4,47,3896143,2000
Pattu Vanna Rosavaam (Male),Malaysia Vasudevan,/artist/malaysia-vasudevan,04:45,Tamil,05-12-2009,0.02,0.25,0.137,0.75,-10.319,0.039,183.856,0,10,0.05,4,89,680522,2009
Super Star Yarnu Ketta,S. P. Balasubrahmanyam|S. P. Sailaja,/artist/s-p-balasubrahamanyam|/artist/s-p-sailaja-2,04:24,Tamil,08-04-2007,0.68,0.923,0.848,0.472,-7.718,0.089,129.954,1,7,0.0672,4,52,9892301,2007
Oro Poovanathiley,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:26,Tamil,10-02-2009,0.32,0.186,0.832,0.695,-13.246,0.015,106.016,1,1,0.099,4,85,10593162,2009
Panivizhum Malar Vanam,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:33,Tamil,12-10-2021,0.12,0.03,0.965,0.43,-6.692,0.03,160.035,1,8,0.02,4,76,9357314,2021
Adi Ennadi Raakkamma,T.M. Soundararajan,/artist/tm-soundararajan,03:39,Tamil,03-01-2002,0.15,0.349,0.849,0.843,-3.328,0.053,165.532,1,0,0.089,4,39,9827728,2002
Vaan Nila Nila,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,05:48,Tamil,03-02-2002,0.91,0.39,0.811,0.16,-10.987,0.05,126.181,0,9,0.07,4,35,9115339,2002
Thanga Changili,Malaysia Vasudevan|S. Janaki,/artist/malaysia-vasudevan|/artist/s-janaki,03:59,Tamil,01-02-2003,0.11,0.492,0.76,0.28,-5.604,0.0086,140.083,1,1,0.004,4,86,3925243,2003
Kaathodu Poovurasa,P. Susheela|S. P. Balasubrahmanyam,/artist/p-suseela-2|/artist/s-p-balasubrahamanyam,04:34,Tamil,08-05-2008,0.52,0.756,0.473,0.135,-10.119,0.0813,131.983,0,8,0.04,4,75,509589,2008
Sorgam Madhuvile,Leslie,/artist/leslie,05:39,Tamil,11-01-2021,0.31,0.874,0.91,0.879,-5.282,0.011,145.99,1,9,0.0736,4,84,6660274,2021
Vantha Naal Muthal (Happy),T.M. Soundararajan,/artist/tm-soundararajan,05:15,Tamil,01-11-2022,0.88,0.56,0.362,0.89,-8.314,0.07,117.532,1,8,0.004,4,84,5685807,2022
Alli Thantha,Leslie,/artist/leslie,06:02,Tamil,03-11-2008,0.38,0.506,0.98,0.173,-13.916,0.0982,175.985,1,7,0.0318,4,34,2772902,2008
Kumarippennin,P Suhseela|T M S Selvakumar,/artist/p-suhseela|/artist/t-m-s-selvakumar,05:41,Tamil,10-02-2009,0.44,0.3,0.648,0.213,-13.444,0.08,158.062,1,9,0.093,4,73,8748363,2009
Antha Sivagaami,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,06:13,Tamil,04-06-2007,0.79,0.8,0.879,0.18,-8.607,0.007,159.98,0,10,0.08,4,45,817265,2007
Poththi Vachcha,S. P. Balasubrahmanyam|S. Janaki,/artist/s-p-balasubrahamanyam|/artist/s-janaki,04:19,Tamil,07-04-2020,1.0,0.311,0.694,0.84,-7.146,0.03,165.212,1,5,0.083,4,75,1570703,2020
Indha Pacchaikkilikkoru,K J Yesudas,/artist/k-j-yesudas,04:28,Tamil,03-12-2022,0.58,0.82,0.965,0.61,-9.567,0.016,157.99,1,1,0.012,4,80,10918348,2022
Thottaal Poomalarum,T.M. Soundararajan|P. Susheela,/artist/tm-soundararajan|/artist/p-suseela-2,04:46,Tamil,08-03-2007,0.01,0.389,0.961,0.379,-7.657,0.095,131.95,0,10,0.07,4,42,5799541,2007
Itho Enthan Deivam,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,04:46,Tamil,10-04-2002,0.19,0.705,0.347,0.407,-10.887,0.05,120.017,0,1,0.06,4,71,5858065,2002
Ulagam Azhagu,S. Janaki|T.M. Soundararajan,/artist/s-janaki|/artist/tm-soundararajan,03:04,Tamil,12-03-2021,0.74,0.27,0.611,0.83,-6.537,0.02,147.021,0,1,0.006,4,79,4712513,2021
Nenjam Marappathillai (Female),P. Susheela,/artist/p-suseela-2,04:23,Tamil,03-09-2022,0.69,0.969,0.005,0.328,-11.565,0.073,168.197,1,8,0.064,4,26,9643399,2022
Chittukku Chella Chittuku,K J Yesudas,/artist/k-j-yesudas,04:39,Tamil,06-04-2004,0.87,0.56,0.921,0.89,-13.269,0.04,200.046,1,7,0.1,4,82,6402427,2004
Raja Raja Sri,P.B. Sreenivas|L.R. Eswari,/artist/pb-sreenivas|/artist/lr-eswari-2,03:25,Tamil,05-03-2004,0.94,0.706,0.848,0.67,-11.627,0.04,134.039,0,4,0.045,4,31,10360563,2004
Ithu Oru Ponmalai,S. P. Balasubrahmanyam,/artist/s-p-balasubrahamanyam,04:18,Tamil,03-10-2007,0.58,0.51,0.002,0.77,-4.096,0.084,131.026,0,9,0.0451,4,86,7483389,2007
Paadaatha Paattelam,P.B. Sreenivas|S. Janaki,/artist/pb-sreenivas|/artist/s-janaki,03:19,Tamil,03-04-2023,0.82,0.252,0.036,0.22,-12.197,0.0165,105.219,0,10,0.004,4,84,7334403,2023
Koodayile,Malaysia Vasudevan,/artist/malaysia-vasudevan,03:25,Tamil,11-03-2020,0.25,0.898,0.122,0.031,-2.583,0.052,160.223,1,9,0.076,4,30,10563754,2020
Ninaivaale Silai Seithu,Vani Jairam|K J Yesudas,/artist/vani-jayaram|/artist/k-j-yesudas,04:38,Tamil,05-05-2009,0.19,0.9,0.48,0.43,-7.399,0.0219,154.886,1,8,0.03,4,41,3948529,2009
Kannaale Pesi Pesi,P.B. Sreenivas,/artist/pb-sreenivas,03:27,Tamil,12-10-2022,0.35,0.367,0.088,0.996,-9.794,0.06,199.996,1,0,0.001,4,54,1576501,2022
Yaarai Engae,T.M. Soundararajan,/artist/tm-soundararajan,03:35,Tamil,02-03-2004,0.92,0.78,0.238,0.59,-10.743,0.073,170.025,1,0,0.017,4,59,3757392,2004
Azhagiya Mithilai,P.B. Sreenivas|P. Susheela,/artist/pb-sreenivas|/artist/p-suseela-2,03:45,Tamil,06-05-2009,0.86,0.662,0.712,0.385,-7.755,0.018,160.07,1,8,0.03,4,39,6479702,2009
Poovizhi Vaasalalil,S. Janaki|K J Yesudas,/artist/s-janaki|/artist/k-j-yesudas,04:31,Tamil,09-10-2003,0.84,0.48,0.554,0.61,-11.503,0.058,136.114,0,10,0.0508,4,40,2266066,2003
Thottam Konda Rajave,Jency Anthony,/artist/jency-anthony,04:13,Tamil,05-02-2004,0.17,0.902,0.588,0.367,-2.847,0.02,194.056,0,3,0.0808,4,37,7471548,2004
Kathal Malar,T.M. Soundararajan,/artist/tm-soundararajan,03:58,Tamil,12-02-2020,0.56,0.16,0.86,0.959,-8.54,0.03,159.956,1,8,0.09,4,54,10572425,2020
Vizhiyae Kathai Ezhuthu,P. Susheela|K J Yesudas,/artist/p-suseela-2|/artist/k-j-yesudas,04:47,Tamil,05-03-2008,0.79,0.22,0.25,0.73,-4.958,0.018,155.896,1,1,0.0104,4,46,3352739,2008
